Name,Math_Grade7,Math_Grade8,Math_Grade9,English_Grade7,English_Grade8,English_Grade9,Kiswahili_Grade7,Kiswahili_Grade8,Kiswahili_Grade9,Integrated_Grade7,Integrated_Grade8,Integrated_Grade9,Agriculture_Grade7,Agriculture_Grade8,Agriculture_Grade9,Social_Grade7,Social_Grade8,Social_Grade9,CRE_Grade7,CRE_Grade8,CRE_Grade9,Creative_Arts_and_Sports_Grade7,Creative_Arts_and_Sports_Grade8,Creative_Arts_and_Sports_Grade9,Pretechnical_Grade7,Pretechnical_Grade8,Pretechnical_Grade9,Actual Pathway
Jacob,58,88,47,15,18,61,71,30,27,62,81,90,45,10,28,86,74,52,51,67,83,64,19,85,23,81,30,Social Science
Jane,75,48,36,36,19,80,46,34,74,82,78,12,10,79,64,95,56,61,94,25,47,90,90,81,50,10,54,STEM
michel,71,46,92,77,51,21,61,58,23,88,58,60,64,20,20,39,34,59,34,94,55,20,31,68,84,16,54,Arts and Sports
ann,70,17,86,43,87,42,55,42,36,58,84,15,84,79,67,89,12,67,30,50,64,35,48,14,69,20,36,STEM
mitchel,51,49,17,82,62,45,24,78,47,88,17,50,59,50,55,12,76,38,28,71,34,83,88,85,40,93,80,Arts and Sports
majuma,18,57,27,62,58,29,49,18,75,79,29,94,60,50,13,37,68,71,76,50,37,54,10,53,40,73,65,Social Science
cynthia,26,59,36,57,78,42,80,12,40,46,91,59,45,49,65,46,89,33,55,76,44,63,87,39,27,29,74,Social Science
micheal,26,78,91,34,62,51,16,58,57,19,50,27,94,35,93,59,41,81,46,51,20,92,54,60,59,25,58,STEM
valary,94,34,11,82,34,83,20,69,75,87,90,70,25,41,46,67,47,74,10,17,62,58,83,38,25,83,51,Social Science
viena,25,13,76,84,34,17,81,50,21,76,92,31,21,50,60,47,61,57,19,76,45,28,19,86,62,66,61,Arts and Sports
job,41,84,63,89,60,83,76,22,30,27,66,70,74,23,91,77,14,51,70,26,94,36,51,76,40,73,19,Social Science
sha,82,49,43,65,34,17,50,31,72,74,35,76,15,45,60,21,54,16,64,93,40,36,76,38,49,52,75,Arts and Sports
bob,94,79,86,62,92,17,66,37,88,36,51,77,78,85,69,85,80,78,65,67,85,32,55,62,56,85,39,Social Science
junior,41,39,30,30,32,86,81,40,73,27,70,75,13,42,60,75,72,86,49,53,19,91,60,32,82,58,53,Social Science
ashley,33,20,23,58,24,56,17,44,43,25,64,45,84,39,36,25,57,84,63,61,80,80,86,34,47,95,48,STEM
caleb,71,52,87,13,86,67,69,77,44,69,54,46,79,95,73,31,66,48,41,24,33,95,93,65,48,47,39,Social Science
rose,50,10,58,91,32,46,69,68,59,43,44,58,34,77,81,62,22,27,68,39,31,90,42,38,85,34,22,STEM
charity,60,25,82,15,36,15,66,66,37,84,59,76,59,11,10,50,18,53,50,68,32,92,53,69,39,67,27,STEM
bhavin,69,93,79,58,41,55,82,57,94,63,39,56,13,16,70,83,64,12,11,32,32,94,42,90,86,71,19,STEM
sharon,17,29,75,86,23,38,50,84,12,26,26,10,42,17,87,68,73,72,68,16,11,33,62,10,63,82,14,STEM
emmanuel,68,21,91,25,46,79,70,44,44,93,19,55,54,45,15,56,80,72,69,82,71,47,45,94,94,17,78,STEM
ndinia,41,55,74,37,62,48,46,24,45,53,78,94,84,49,74,90,80,78,79,74,77,42,47,69,62,23,37,Arts and Sports
momanga,88,18,12,90,20,68,87,86,30,46,87,94,17,77,31,88,10,87,18,13,60,24,52,74,72,14,14,STEM
leonard,30,73,64,51,13,28,63,45,72,57,17,45,84,94,51,49,62,17,43,58,45,65,73,90,69,91,36,Arts and Sports
cheshari,14,78,41,25,93,51,51,10,50,46,21,78,52,77,76,39,68,14,44,82,49,92,38,31,27,75,39,Social Science
kirui,34,45,64,41,54,17,68,89,39,60,64,43,34,59,54,22,31,33,86,35,46,70,42,32,45,50,81,Arts and Sports
ibrahim,34,58,75,51,38,64,51,45,48,71,56,61,39,74,94,30,41,70,16,63,68,48,23,33,90,26,55,Social Science
jecinta,48,18,63,29,65,41,71,51,38,79,54,62,71,44,28,88,63,66,77,59,43,75,34,72,61,53,79,Arts and Sports
lilian,65,60,36,94,17,77,74,69,31,62,80,43,66,92,55,86,28,27,28,77,24,26,43,11,51,64,23,STEM
beatrice,57,27,84,93,60,71,92,11,43,49,78,60,95,33,45,74,15,79,52,38,72,36,36,90,45,74,42,Social Science
kimachas,59,53,48,11,68,33,27,10,43,54,44,80,89,22,87,36,74,14,25,63,34,72,17,63,15,82,27,STEM
kiplimo,46,26,69,86,86,50,46,58,48,15,76,36,42,95,15,32,34,24,54,89,76,57,12,53,58,22,31,Social Science
gravile,52,79,11,87,63,67,79,95,25,34,12,57,52,78,70,74,45,66,66,22,45,51,88,90,92,86,58,STEM
evans,77,29,77,48,85,28,95,62,17,56,43,71,70,60,57,27,52,69,79,22,91,36,40,66,17,38,63,Social Science
chebonya,58,11,12,68,72,72,78,40,65,21,59,43,38,78,78,91,66,69,68,80,41,11,61,90,72,17,19,Social Science
nato,18,70,20,53,69,89,62,52,28,83,13,22,14,95,89,75,55,76,36,67,63,10,94,18,38,33,33,Social Science
david,20,25,59,82,24,47,74,50,43,86,93,66,75,10,39,21,76,34,46,67,14,37,85,92,52,70,35,STEM
silas,48,52,46,32,41,60,80,26,13,64,95,95,25,42,77,78,28,36,24,82,51,50,81,50,83,58,80,STEM
jael,14,64,13,31,73,95,52,22,88,42,86,59,95,94,28,70,54,11,35,10,93,68,10,91,95,92,76,Social Science
valary,33,67,86,73,58,21,38,31,25,43,68,31,54,28,87,50,92,50,95,54,18,79,80,60,77,65,95,Arts and Sports
mercy,90,94,40,83,70,91,70,47,22,84,78,89,88,38,87,82,29,77,15,65,22,44,47,23,47,28,76,STEM
audrey,72,95,10,88,78,34,70,49,53,59,42,90,33,27,51,83,81,47,31,47,16,53,58,19,49,79,80,STEM
safia,35,28,59,49,22,50,14,38,65,85,11,55,43,17,86,27,80,23,16,28,20,72,59,26,71,37,65,Social Science
juma,89,69,77,54,88,39,59,47,18,16,68,42,50,84,90,93,21,48,62,74,94,62,16,29,93,74,50,Social Science
rwane,86,24,73,75,12,22,67,90,69,33,56,16,78,33,22,47,50,27,13,62,59,87,53,67,27,92,71,Social Science
amina,26,64,87,71,10,21,57,72,56,68,50,68,27,38,67,39,83,39,71,28,62,67,10,80,90,69,26,Social Science
chepteek,70,57,75,55,43,43,81,53,17,31,38,72,55,45,23,18,94,68,74,65,41,20,44,87,34,90,22,Social Science
mitchelle,88,34,20,43,71,70,94,27,37,34,20,65,73,28,50,90,47,70,84,52,80,15,93,40,14,63,69,STEM
centrine,30,71,27,88,49,13,33,89,13,95,75,93,27,13,54,85,53,68,36,63,91,23,68,94,52,58,55,STEM
catherine,28,80,76,58,92,68,21,67,23,72,56,89,76,21,58,30,65,78,92,92,21,24,53,31,85,38,81,Arts and Sports
emily,41,17,39,18,48,82,29,85,26,80,49,71,11,33,19,38,24,16,95,79,91,27,35,82,63,56,85,Social Science
mandu,64,45,31,64,53,91,13,66,37,57,29,36,18,61,50,83,61,95,20,25,72,32,52,70,72,75,89,STEM
linety,20,69,54,59,60,25,46,48,61,30,65,18,93,89,55,42,68,95,91,27,43,55,71,12,45,44,93,Social Science
mirriam,19,49,14,38,50,69,29,26,85,51,43,94,53,45,42,66,66,23,53,40,92,32,67,69,75,33,92,Social Science
faith,81,42,51,92,72,39,78,11,11,62,32,27,39,84,31,38,16,48,47,58,25,72,93,42,85,89,24,Social Science
cherotich,67,92,94,89,75,93,40,46,13,42,46,15,84,95,50,72,31,17,60,32,63,81,62,87,64,93,34,Social Science
khalayi,93,88,35,37,40,94,94,78,39,53,95,35,36,40,56,66,39,74,29,88,91,43,52,60,59,38,54,Arts and Sports
bilha,93,27,55,13,19,17,11,18,34,71,11,21,61,54,27,92,15,27,64,79,28,74,39,39,68,17,24,Arts and Sports
chesiro,95,50,85,55,94,34,43,80,83,73,26,33,12,60,40,88,50,95,75,85,11,57,61,77,16,78,46,Social Science
metrine,22,64,93,40,43,86,63,76,53,19,15,46,70,54,67,50,15,49,52,87,70,32,57,59,33,95,93,Social Science
joan,24,89,77,63,48,86,50,48,55,41,31,94,24,73,43,90,36,83,85,61,56,79,83,63,22,20,83,Arts and Sports
elody,67,73,67,92,73,10,94,47,22,10,21,48,43,17,64,74,58,51,13,57,25,54,85,43,69,58,69,Social Science
gloria,50,69,21,94,30,31,74,21,16,16,31,24,46,37,28,94,69,26,85,69,17,78,72,37,72,23,90,Arts and Sports
faith,63,90,51,93,60,24,20,16,13,58,89,89,42,91,86,63,18,93,81,62,23,78,73,21,73,17,35,STEM
cherono,76,54,61,77,38,63,74,14,39,31,95,15,47,44,60,29,84,80,50,56,94,17,91,53,53,34,57,Social Science
lavendah,43,44,84,93,69,43,92,79,80,48,73,32,86,43,39,26,86,57,84,85,14,43,38,54,83,10,89,STEM
nasimiyu,24,41,24,91,42,21,72,74,29,29,46,65,62,14,56,31,52,82,29,81,45,15,36,52,90,61,15,Arts and Sports
juma,60,95,41,94,67,61,54,74,81,67,67,32,31,91,11,11,54,32,24,92,56,43,66,52,41,86,25,STEM
naomi,51,17,92,39,89,40,70,59,94,12,67,30,49,33,94,13,75,22,45,57,38,12,34,11,44,79,55,Social Science
nanjala,17,68,51,42,94,90,66,15,68,95,10,35,15,75,76,44,20,20,19,22,82,42,73,92,75,31,47,Arts and Sports
